factor1,factor2,minutes
rano,ticho,6 
rano,ticho,8 
rano,ticho,11 
rano,hudba,7 
rano,hudba,8
rano,hudba,12
rano,hudba,10
rano,hluk,8
rano,hluk,7 
rano,hluk,20 
rano,krik,13
rano,krik,21
rano,krik,11
poledne,ticho,8  
poledne,ticho,13  
poledne,ticho,7   
poledne,hudba,5 
poledne,hudba,11
poledne,hudba,7 
poledne,hluk,10
poledne,hluk,17
poledne,hluk,11
poledne,hluk,13
poledne,krik,14
poledne,krik,11  
vecer,ticho,7
vecer,ticho,8
vecer,ticho,6
vecer,hudba,6 
vecer,hudba,8 
vecer,hudba,16
vecer,hudba,15
vecer,hluk,12
vecer,hluk,17
vecer,hluk,10
vecer,krik,13 
vecer,krik,17 
vecer,krik,15 
vecer,krik,22 
vecer,krik,18   
